"booking_id","date","time","user_id","pet_name","comment","service_id","specie_id"
"11","2022-08-13","12:00","2","Oreo","my hamster cut its leg","8","5"
"12","2022-08-27","13:00","2","Paul",,"4","3"
"13","2022-08-25","16:00","2","Kris","tooth extraction ","10","3"
"booking_hotel_id","check_in_date","check_out_date","total_days","total_cost","comment","hotel_id","user_id"
"16","2022-07-28","2022-07-30","2","30€","my cat likes fish","2","2"
"24","2022-08-20","2022-08-24","4","60€"," ","2","2"
"25","2022-08-17","2022-08-20","3","60€",,"1","2"
"26","2022-08-17","2022-08-20","3","60€",,"1","2"
"hotel_id","hotel_type","price_per_day"
"1","Dog's Hotel","20"
"2","Cat's Hotel","15"
"order_id","order_date","order_time","product_id","user_id","amount","total_cost"
"product_id","product_name","description","price","image"
"6","Purina One Kitten and Junior Chicken and Whole Grains","Purina One Kitten and Junior Chicken and Whole Grains cat food has been designed to provide your adorable kitten with its complete nutritional needs, making sure that they stay healthy and happy.","5","1484054803_317.jpeg"
"8","Pedigree Adult Beef Dog Food 12kg","100% complete, With high quality meat protein, Developed by veterinarians, No artificial flavours, No added sugar","7","CK56A_03.jpeg"
"9","Royal Canin Kitten 10 kg","Helps build up the natural immune system Promotes healthy growth Supports healthy digestion","4","packshot_2016_FHN_DRY_Kitten_5.jpeg"
"10","Happy Dog premium dog food","Made With Love In Germany","6","hd-vet-new-product-slider-packshots-sensible-11kg-300g.png"
"11","PawsOnlyUK Treat Dispenser Dog Toy Ball ","The unique design of the ball with side slits and hollow centre allow you put snacks and treats in it","11","71uipxs5AML._AC_SL1500_.jpeg"
"service_id","service_type","cost"
"1","First Visit Vaccination","15"
"2","Second Vaccination","15"
"3","Annual Vaccination","15"
"4","Microchipping","20"
"5","Surgery (Spaying and Castration)","100"
"6","Consultation(Illness/checkups)","30"
"7","Dermatology","35"
"8","Emergencies","30"
"9","Diagnostic procedures(Blood testing, Analysis)","35"
"10","Dental procedures (Dental Prophylaxis, Extractions, Treatment)","45"
"11","Passport","35"
"specie_id","specie_type"
"1","Dog"
"2","Cat"
"3","Rabbit"
"4","Rat"
"5","Hamster"
"6","Guinea pig"
"7","Small Mammal"
"slot_id","service_id","time"
"1","1","10:00"
"2","1","10:15"
"3","1","10:30"
"4","1","10:45"
"5","1","11:00"
"6","2","12:00"
"7","2","12:15"
"8","2","12:30"
"9","2","12:45"
"10","2","13:00"
"11","3","15:00"
"12","3","15:15"
"13","3","15:30"
"14","3","15:45"
"15","3","16:00"
"16","4","12:00"
"17","4","12:15"
"18","4","12:30"
"19","4","12:45"
"20","4","13:00"
"21","4","13:15"
"22","4","13:30"
"23","4","13:45"
"24","5","11:00"
"25","5","13:00"
"26","5","15:00"
"27","5","17:00"
"28","6","11:00"
"29","6","11:30"
"30","6","12:00"
"31","6","12:30"
"32","6","13:00"
"33","6","13:30"
"34","6","14:00"
"35","7","13:00"
"36","7","14:00"
"37","7","15:00"
"38","7","16:00"
"39","7","17:00"
"40","8","10:00"
"41","8","12:00"
"42","8","15:00"
"43","9","11:00"
"44","9","11:15"
"46","9","11:30"
"47","9","11:45"
"48","9","12:00"
"49","9","12:15"
"50","9","12:30"
"51","9","12:45"
"52","9","13:00"
"53","10","13:00"
"54","10","14:00"
"55","10","15:00"
"56","10","16:00"
"57","10","17:00"
"58","11","14:00"
"59","11","14:30"
"60","11","15:00"
"61","11","15:30"
"62","11","16:00"
"63","11","16:30"
"64","11","17:00"
"65","11","17:30"
"user_id","first_name","last_name","phone_number","email","user_type","password"
"2","madina","sagatova","12345","madina@gmail.com","user","827ccb0eea8a706c4c34a16891f84e7b"
"3","kira","Porter","9099987653","kira@gmail.com","admin","827ccb0eea8a706c4c34a16891f84e7b"
"4","Madina","Sagatova","08263518456","madinaS@gmail.com","user","827ccb0eea8a706c4c34a16891f84e7b"
"5","Milana","Cortes","8068542","mila@gmail.com","user","827ccb0eea8a706c4c34a16891f84e7b"
"6","Ira","Optom","9999999999","iraopt@gmail.com","admin","202cb962ac59075b964b07152d234b70"
